"","substudy_num","alpha_nls2","alpha_se_nls2","beta_hat","beta_variance_nls2","unnamed","substudy_source","Alex_PAPER_ID","use_alex_craig","data.source..or.reason.for.exclusion.","data.on.recruit.on.recruit","data.on.older.fish.on.older.fish","Density.areal.units..or.can.be.converted.","Data.set.original..YES.Use.them.or.not.checked..No.use.data.from.another.paper...","is.the.initial.number..taken.at.a.point.in.time..SINGLE..but.this.might.be.multiple.settlement.events...or.is.an.cumulative.number..e.g...sum.settlers..over.every.day.of.summer...if.CUMULATIVE...then.what.is.the.time.scale.of.the.summation.","Number.of.Aggregrated.taxa.","Is.good.based.on..criteria.","Fish.Depleted.or.were.Replaced...Or.do.we.take.Beta.directly.from.the.paper.","estimation_approach","use_2024","Authors","Article.Title","Source.Title","Abstract","Times.Cited..WoS.Core","Times.Cited..All.Databases","Publication.Date","Publication.Year","Volume","Issue","Start.Page","End.Page","DOI","study_num","study","lat_deci","long_deci","journal","paired_pred","paired_substudy_num","conclusion","rawdata_for_analysis","alpha_2002","alpha_se_2002","beta_2002","beta_se_2002","var_alpha_2002","var_beta_2002","expt_obs","expt_obs_pairs","family","g_sp","trophic_status","trophic_level","habitat","geog_region_2","ocean","predators","age_start","size_start","size_start_units","SL_start","duration"
"1",1,0.000166666666667333,6.18429189856524e-05,3.34361414141414e-06,3.49372135195726e-13,1,"from text, aquaculture paper",10016,"no","Survival data not explicit","Yes","No","Yes","Yes","SINGLE","1","Yes - but its an Aquaculture study","Depleted","Binomial","yes","Chua and Teng","Relative Growth and production…","Marine Biology","","",NA,"",1979,54,NA,363,372,NA,1,"Chua and Teng, 1979",5.4575642,100.3127919,"Marine Biology and Aquaculture","unpaired",1,"DD","yes","0",0,-5.4e-06,3.62e-07,0,1.31e-13,"Exp",NA,"Serranidae","Epinephelus_malabaricus","carnivore",NA,"reef","TropPacific","Pacific","absent",30,125.04,"mmSL",125.04,240
"2",5,0.00909090909090973,0.00322098536384238,0.00124242424242424,1.34456717414576e-06,5,"Fig 3b, large",10015,"yes","Fig3, large fish, 2 wks","No","Yes","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH","MARINE ECOLOGY PROGRESS SERIES","","",NA,"",1981,6,"2",203,212,"10.3354/meps006203",2,"Kneib, R.T. 1981",34.7,-76.7,"MEPS","unpaired",5,"DD","yes","-0.00556",0.00887,-0.0024,0.00277,7.87e-05,7.67e-06,"Exp",NA,"Fundulidae","Fundulus_heteroclitus","omnivore",3.59,"estuary","North Carolina","Atlantic","absent",178.57,56,"mmSL",56,14
"3",6,0.00849090909090909,0.00232142857142857,-0.000548484848484848,5.14630994355352e-07,6,"Fig 3b, medium",10015,"yes","Fig3, medium fish, 2 wks","No","Yes","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH","MARINE ECOLOGY PROGRESS SERIES","","",NA,"",1981,6,"2",203,212,"10.3354/meps006203",2,"Kneib, R.T. 1981",34.7,-76.7,"MEPS","unpaired",6,"DI","yes","-0.00517",0.0102,-0.00046,0.00299,0.00010404,8.94e-06,"Exp",NA,"Fundulidae","Fundulus_heteroclitus","omnivore",3.59,"estuary","North Carolina","Atlantic","absent",148.57,47.6,"mmSL",47.6,14
"4",7,1e-15,NA,0.0136727272727273,9.80189469952258e-06,7,"Fig 3b, small",10015,"yes","Fig3, small fish, 2 wks","No","Yes","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH","MARINE ECOLOGY PROGRESS SERIES","","",NA,"",1981,6,"2",203,212,"10.3354/meps006203",2,"Kneib, R.T. 1981",34.7,-76.7,"MEPS","unpaired",7,"DD","yes","0",0,-0.0162,0.00356,0,1.27e-05,"Exp",NA,"Fundulidae","Fundulus_heteroclitus","omnivore",3.59,"estuary","North Carolina",NA,"absent",107.14,36,"mmSL",36,14
"5",8,0.00170707070707071,0.000309214594928881,0.000311111111111111,1.85108056828173e-08,8,"pw",10004,"yes","Fig1a,b (3 ttts) -- very hard to see in figure; or Fig 2a (but this is only for 1 spp); for Fig 1, what date should we use?","yes","no","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","DOHERTY, PJ","SOME EFFECTS OF DENSITY ON THE JUVENILES OF 2 SPECIES OF TROPICAL, TERRITORIAL DAMSELFISH","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","",NA,"",1982,65,"3",249,261,"10.1016/0022-0981(82)90057-0",3,"Doherty 1982",-23.5,152.1,"JEMBE","unpaired",8,"DI","yes","-0.00214",0.00181,-0.00014,0.000662,3.28e-06,4.38e-07,"Exp",NA,"Pomacentridae","Pomacentrus_wardi","herbivore",2,"reef","Australia","Pacific","present",21,17,"mmSL",17,365
"6",9,0.00202020202020262,0.00015460729746441,0.0392929292929293,1.23715119656678e-05,9,"Fig 6",10008,"yes","Fig6 (note that numbers are per 500m2)","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","POPULATION ECOLOGY OF THE TEMPERATE REEF FISH PSEUDOLABRUS-CELIDOTUS BLOCH AND SCHNEIDER (PISCES, LABRIDAE) .2. FACTORS INFLUENCING ADULT DENSITY","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","",NA,"",1984,75,"3",277,303,"10.1016/0022-0981(84)90170-9",4,"Jones, 1984II",-36.265522,174.79776,"JEMBE","unpaired",9,"DD","yes","-0.00293",0.00047,-0.0262,0.00474,2.21e-07,2.25e-05,"Obs",NA,"Labridae","Notolabrus_celidotus","carnivore",NA,"reef","New Zealand","Pacific","present",183,50,"mmSL",50,365
"7",10,0.000972727272727273,0.000189393939393939,-4.87272727272729e-06,1.70405065382537e-09,10,"Fig 3, with adults-small",10009,"yes","Fig3 (3 juve densities x 2 adult densitis) over a year.","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH","ECOLOGY","","",NA,"",1987,68,"5",1534,1547,"10.2307/1939237",5,"Jones 1987 ecology",-23.5,152.1,"Ecology","unpaired",10,"DI","yes","-0.000943948",0.000134,-2.21e-07,2.2e-05,1.8e-08,4.84e-10,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",30,18.067,"mmSL",18.067,365
"8",11,0.000464646464647232,0.000221603793032254,0.000142166666666667,3.17929995689736e-09,11,"Fig 3, without adults-small",10009,"yes","Fig3 (3 juve densities x 2 adult densitis) over a year.","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH","ECOLOGY","","",NA,"",1987,68,"5",1534,1547,"10.2307/1939237",5,"Jones 1987 ecology",-23.5,152.1,"Ecology","unpaired",11,"DI","yes","-0.000816395",0.000759,-5.46e-05,0.000135,5.76e-07,1.82e-08,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",30,18.3,"mmSL",18.3,365
"9",12,1e-15,NA,0.00109036363636364,6.60151509056144e-08,12,"fig 6 ,without adults-large",10009,"yes","Fig3 (3 juve densities x 2 adult densitis) over a year.","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH","ECOLOGY","","",NA,"",1987,68,"5",1534,1547,"10.2307/1939237",5,"Jones 1987 ecology",-23.5,152.1,"Ecology","unpaired",12,"DD","yes","-0.000582995",0.00244,-0.000686547,0.00091,5.95e-06,8.28e-07,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",365,38.43,"mmSL",38.43,365
"10",13,0.00357575757575758,0.00034786641929499,-0.000303363636363636,1.62515193609068e-08,13,"Fig 6, with adults-large",10009,"yes","Fig3 (3 juve densities x 2 adult densitis) over a year.","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH","ECOLOGY","","",NA,"",1987,68,"5",1534,1547,"10.2307/1939237",5,"Jones 1987 ecology",-23.5,152.1,"Ecology","unpaired",13,"DI","yes","-0.00424",0.00132,0.000432,0.000323,1.74e-06,1.04e-07,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",365,38.33,"mmSL",38.33,365
"11",14,0.000363636363637182,0.000206143063285817,0.000191885858585859,3.00301627710313e-09,14,"pa-late rects",10010,"yes","Fig4(+LR, Expt4)","Yes","Yes","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","SOME INTERACTIONS BETWEEN RESIDENTS AND RECRUITS IN TWO CORAL-REEF FISHES","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","",NA,"",1987,114,"3-Feb",169,182,NA,6,"Jones 1987 jembe",-23.5,152.1,"JEMBE","unpaired",14,"DI","yes","0",0,-0.00028,5.3e-05,0,2.81e-09,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",30,14.4,"mmSL",14.4,365
"12",15,0.000101010101011,NA,2.24545454545455e-06,1.78851337577815e-12,15,"Da with adults",10010,"yes","Fig2 (Expt 3+R), ","Yes","Yes","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","SOME INTERACTIONS BETWEEN RESIDENTS AND RECRUITS IN TWO CORAL-REEF FISHES","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","",NA,"",1987,114,"3-Feb",169,182,NA,6,"Jones 1987 jembe",-23.5,152.1,"JEMBE","unpaired",15,"DD","yes","-0.000298381",0.000332,-2.98e-07,3e-06,1.1e-07,8.99e-12,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Australia","Pacific","present",30,15.4,"mmSL",15.4,240
"13",16,0.0010010011,0.00101117063621863,0,9.72735789772082e-11,16,"Da without adults",10010,"yes","Fig2 (Expt 3, -R)","Yes","Yes","Yes","YES","SINGLE","1","Yes","Depleted","Other_No_Counts","yes","JONES, GP","SOME INTERACTIONS BETWEEN RESIDENTS AND RECRUITS IN TWO CORAL-REEF FISHES","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","",NA,"",1987,114,"3-Feb",169,182,NA,6,"Jones 1987 jembe",-23.5,152.1,"JEMBE","unpaired",16,"DD","yes","-0.000102981",0.000491,-8.77e-06,5.04e-06,2.41e-07,2.54e-11,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Australia","Pacific","present",30,15.4,"mmSL",15.4,240
"14",17,1e-15,NA,0.000284747474747475,4.22325827065645e-09,17,"da on poc",10011,"yes","Table1 gives design.  Data in  Fig2","Yes","no","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES","Journal of Experimental Marine Biology and Ecology","","",NA,"",1988,123,"2",115,126,"10.1016/0022-0981(88)90164-5",7,"Jones 1988",-23.5,152.1,"JEMBE","unpaired",17,"DD","yes","0",0,-3e-04,7.4e-05,0,5.48e-09,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Australia","Pacific","present",30,15.4,"mmSL",15.4,365
"15",18,0.0062020202020202,0.000837456194599051,-5.65656565656566e-05,3.07026104358024e-08,18,"da on porites",10011,"yes","Table1 gives design.  Data Fig2","Yes","no","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES","Journal of Experimental Marine Biology and Ecology","","",NA,"",1988,123,"2",115,126,"10.1016/0022-0981(88)90164-5",7,"Jones 1988",-23.5,152.1,"JEMBE","unpaired",18,"DD","yes","-0.00681",0.00102,0.000159,0.000156,1.04e-06,2.43e-08,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Australia","Pacific","present",30,15.4,"mmSL",15.4,365
"16",19,0.00103030303030369,0.000216450216450144,1.47878787878788e-05,5.01183888408908e-10,19,"pa on poc",10011,"yes","Table1 gives design.  Data in Fig1","Yes","no","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES","Journal of Experimental Marine Biology and Ecology","","",NA,"",1988,123,"2",115,126,"10.1016/0022-0981(88)90164-5",7,"Jones 1988",-23.5,152.1,"JEMBE","unpaired",19,"IDD","yes","-0.000603874",0.00142,-5.5e-05,0.000138,2.02e-06,1.9e-08,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",30,18,"mmSL",18,365
"17",20,0.00456565656565657,0.000334982477839621,-0.000188313131313131,1.17346144650898e-09,20,"pa on porites",10011,"yes","Table1 gives design.  Data in Fig1 ","Yes","no","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","JONES, GP","EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES","Journal of Experimental Marine Biology and Ecology","","",NA,"",1988,123,"2",115,126,"10.1016/0022-0981(88)90164-5",7,"Jones 1988",-23.5,152.1,"JEMBE","unpaired",20,"IDD","yes","-0.00376",0.00237,0.000104,0.000255,5.62e-06,6.5e-08,"Exp",NA,"Pomacentridae","Pomacentrus_amboinensis","planktivore",2.69,"reef","Australia","Pacific","present",30,18,"mmSL",18,365
"18",27,0.000560606060606687,0.00012368583797147,4.64343434343434e-06,3.2842689284568e-12,24,"with adults",10005,"yes","Fig3 (lo,med,hi at two adult densities)","Yes","No","Yes","YES","SINGLE","1","Yes-but fish were fed","Depleted","Binomial","yes","FORRESTER, GE","FACTORS INFLUENCING THE JUVENILE DEMOGRAPHY OF A CORAL-REEF FISH","ECOLOGY","FACTORS INFLUENCING THE JUVENILE DEMOGRAPHY OF A CORAL-REEF FISH","ECOLOGY",NA,"",1990,71,"5",1666,1681,"10.2307/1937576",9,"Forrester 1990",-23.5,152.1,"Ecology","unpaired",27,"DD","yes","-0.000749",0.000236,-2.35e-06,2.71e-06,5.57e-08,7.32e-12,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Australia","Pacific","present",7.5,9.12,"mmSL",9.12,300
