"substudy_num","alpha","beta","alpha_variance","beta_variance"
1,0.000166666666667333,3.34361414141414e-06,3.82454662866597e-09,3.49372135195726e-13
5,0.00909090909090973,0.00124242424242424,1.03747467140868e-05,1.34456717414576e-06
6,0.00849090909090909,-0.000548484848484848,5.3890306122449e-06,5.14630994355352e-07
7,1e-15,0.0136727272727273,NA,9.80189469952258e-06
8,0.00170707070707071,0.000311111111111111,9.56136657170318e-08,1.85108056828173e-08
9,0.00202020202020262,0.0392929292929293,2.39034164292484e-08,1.23715119656678e-05
10,0.000972727272727273,-4.87272727272729e-06,3.58700642791552e-08,1.70405065382537e-09
11,0.000464646464647232,0.000142166666666667,4.91082410862819e-08,3.17929995689736e-09
12,1e-15,0.00109036363636364,NA,6.60151509056144e-08
13,0.00357575757575758,-0.000303363636363636,1.21011045673118e-07,1.62515193609068e-08
14,0.000363636363637182,0.000191885858585859,4.24949625408605e-08,3.00301627710313e-09
15,0.000101010101011,2.24545454545455e-06,NA,1.78851337577815e-12
16,0.0010010011,0,1.02246605555079e-06,9.72735789772082e-11
17,1e-15,0.000284747474747475,NA,4.22325827065645e-09
18,0.0062020202020202,-5.65656565656566e-05,7.01332877872324e-07,3.07026104358024e-08
19,0.00103030303030369,1.47878787878788e-05,4.68506962013143e-08,5.01183888408908e-10
20,0.00456565656565657,-0.000188313131313131,1.12213260459572e-07,1.17346144650898e-09
27,0.000560606060606687,4.64343434343434e-06,1.52981865147047e-08,3.2842689284568e-12
28,0.000424242424243141,1.73836363636364e-05,2.89231338793635e-08,9.13314186218705e-12
30,1e-15,0.00606060606060606,NA,9.56136657170316e-08
49,1e-15,0.0190909090909091,NA,4.84044182692473e-07
52,0.00606060606060686,0.00515317171717172,3.7349088170713e-06,1.17111124125193e-06
53,0.00757575757575827,0.002627,2.3903416429256e-06,5.58298690649729e-07
54,1e-10,0.0288288288288288,0.000180071659873474,874743467382.052
55,1e-15,0.0109698593232323,NA,1.5965162565344e-06
57,0.0024242424242433,0.023,NA,2.34928154935444e-05
58,0.0106060606060613,6.70475757575755e-05,3.44209196581291e-06,6.30061176755582e-07
59,0.0142424242424248,0.00234634001010101,6.90808734805509e-06,2.00223211730173e-06
60,0.00161616161616245,0.0075803903030303,NA,2.38981962081494e-06
61,1e-15,0.00889939393939394,NA,2.63300964707891e-06
62,0.00222727272727273,-0.000117434848484848,7.11276035123106e-08,5.39391289078739e-08
63,1e-15,0.0129159794444444,NA,5.44913093833654e-06
64,1e-15,0.00189621818181818,NA,5.90530942685727e-07
65,0.00565656565656637,0.00160579924242424,NA,7.67720035500398e-08
68,0.00909090909090964,0.0145959595959596,3.83517036931611e-06,1.19932072014853e-06
69,1e-15,0.717171717171717,NA,0.0127090647247574
70,0.00373737373737436,0.321212121212121,8.13380142384309e-07,0.00110493542444245
71,0.00686868686868753,0.180808080808081,6.79919400654379e-07,0.000223364146855621
72,0.00767676767676829,0.000169494949494949,7.46052186108654e-06,2.36412019268831e-08
73,1e-15,0.00096969696969697,NA,7.37630215720153e-08
74,0.0216161616161616,-0.00451484529292929,3.58700642791552e-06,2.44094378435255e-05
75,0.827272727272727,0.111943434343434,0.000611927460589003,0.00151932822709614
76,0.0160909090909091,0.00171616161616162,1.07836943301649e-06,3.08020227527803e-06
77,1e-15,0.0312121212121212,NA,9.3372720426789e-07
80,1e-15,0.00010044603030303,NA,6.0486160141929e-10
87,0.00298989898989962,3.96969696969697e-05,1.87402784805335e-07,2.03345035596118e-11
90,1e-15,0.00358573866666667,NA,5.38942428823381e-07
91,0.00575757575757576,-8.28282828282828e-05,2.27248452025376e-07,7.6756526089506e-11
92,0.0615151515151515,-0.000733463636363636,0.000117126740503364,5.53214291167038e-06
93,0.00746464646464646,-0.000346022424242424,3.07026104358024e-06,3.16856145330392e-08
94,0.00252525252525327,0.000193282828282828,1.86513046527145e-06,4.22138996966859e-08
95,0.002222222222223,7.80679090909091e-05,1.34456717414549e-06,2.23338630156183e-08
96,0.0043939393939401,0.000708754747474747,1.72702183701366e-06,1.57474616618549e-07
