substudy_num,alpha,beta,alpha_variance,beta_variance
1,0.000166667,3.34E-06,3.82E-09,3.49E-13
5,0.009090909,0.001242424,1.04E-05,1.34E-06
6,0.008490909,-0.000548485,5.39E-06,5.15E-07
7,1.00E-15,0.013672727,NA,9.80E-06
8,0.001707071,0.000311111,9.56E-08,1.85E-08
9,0.002020202,0.039292929,2.39E-08,1.24E-05
10,0.000972727,-4.87E-06,3.59E-08,1.70E-09
11,0.000464646,0.000142167,4.91E-08,3.18E-09
12,1.00E-15,0.001090364,NA,6.60E-08
13,0.003575758,-0.000303364,1.21E-07,1.63E-08
14,0.000363636,0.000191886,4.25E-08,3.00E-09
15,0.00010101,2.25E-06,NA,1.79E-12
16,0.001001001,0,1.02E-06,9.73E-11
17,1.00E-15,0.000284747,NA,4.22E-09
18,0.00620202,-5.66E-05,7.01E-07,3.07E-08
19,0.001030303,1.48E-05,4.69E-08,5.01E-10
20,0.004565657,-0.000188313,1.12E-07,1.17E-09
27,0.000560606,4.64E-06,1.53E-08,3.28E-12
28,0.000424242,1.74E-05,2.89E-08,9.13E-12
30,1.00E-15,0.006060606,NA,9.56E-08
49,1.00E-15,0.019090909,NA,4.84E-07
52,0.006060606,0.005153172,3.73E-06,1.17E-06
53,0.007575758,0.002627,2.39E-06,5.58E-07
54,1.00E-10,0.028828829,0.000180072,8.74743E+11
55,1.00E-15,0.010969859,NA,1.60E-06
57,0.002424242,0.023,NA,2.35E-05
58,0.010606061,6.70E-05,3.44E-06,6.30E-07
59,0.014242424,0.00234634,6.91E-06,2.00E-06
60,0.001616162,0.00758039,NA,2.39E-06
61,1.00E-15,0.008899394,NA,2.63E-06
62,0.002227273,-0.000117435,7.11E-08,5.39E-08
63,1.00E-15,0.012915979,NA,5.45E-06
64,1.00E-15,0.001896218,NA,5.91E-07
65,0.005656566,0.001605799,NA,7.68E-08
68,0.009090909,0.01459596,3.84E-06,1.20E-06
69,1.00E-15,0.717171717,NA,0.012709065
70,0.003737374,0.321212121,8.13E-07,0.001104935
71,0.006868687,0.180808081,6.80E-07,0.000223364
72,0.007676768,0.000169495,7.46E-06,2.36E-08
73,1.00E-15,0.000969697,NA,7.38E-08
74,0.021616162,-0.004514845,3.59E-06,2.44E-05
75,0.827272727,0.111943434,0.000611927,0.001519328
76,0.016090909,0.001716162,1.08E-06,3.08E-06
77,1.00E-15,0.031212121,NA,9.34E-07
80,1.00E-15,0.000100446,NA,6.05E-10
87,0.002989899,3.97E-05,1.87E-07,2.03E-11
90,1.00E-15,0.003585739,NA,5.39E-07
91,0.005757576,-8.28E-05,2.27E-07,7.68E-11
92,0.061515152,-0.000733464,0.000117127,5.53E-06
93,0.007464646,-0.000346022,3.07E-06,3.17E-08
94,0.002525253,0.000193283,1.87E-06,4.22E-08
95,0.002222222,7.81E-05,1.34E-06,2.23E-08
96,0.004393939,0.000708755,1.73E-06,1.57E-07
97,1.00E-15,0.124949495,NA,0.00258733
98,0.001212121,0.012666667,NA,6.12E-06
99,0.040909091,0.142848485,0.000204524,0.001113173
101,1.00E-15,0.023939394,NA,5.38E-06
102,0.005606061,3.06E-06,1.01E-06,2.41E-12
103,0.01030303,2.71E-05,7.32E-06,4.85E-11
109,0.005090909,-0.000275268,2.07E-06,1.11E-06
110,1.00E-15,0.011393939,NA,1.16E-05
111,0.030909091,-0.006585324,1.43E-05,1.36E-05
112,1.00E-15,0.046448485,NA,0.000258324
113,0.021212121,0.005202349,1.21E-05,1.78E-05
114,1.00E-15,0.033110101,NA,4.96E-05
115,0.056787879,-0.000202647,7.44E-05,2.47E-09
116,1.00E-15,0.002631382,NA,1.17E-07
117,1.00E-15,0.000271313,NA,2.13E-09
118,1.00E-15,0.000405556,NA,3.13E-09
119,0.207070707,0.000727091,0.001037475,1.55E-08
121,0.126262626,0.000640909,0.000568121,3.92E-09
139,1.00E-15,0.019761027,NA,1.40E-05
140,0.00969697,0.010417412,8.63E-06,6.43E-06
141,0.01530303,-0.000512311,2.45E-06,7.34E-07
142,0.009393939,0.022972662,1.05E-05,4.07E-05
143,0.012121212,0.002567626,3.25E-06,1.36E-06
144,0.012323232,0.002121212,1.66E-06,4.15E-07
163,0.04,-0.000920034,3.92E-05,4.56E-06
164,0.050090909,-0.002751765,2.37E-05,3.78E-07
165,1.00E-15,0.008442704,NA,3.99E-06
166,1.00E-15,0.002914141,NA,5.15E-07
167,0.024242424,0.005360115,9.59E-05,4.43E-06
168,0.04040404,0.001003926,9.09E-05,4.54E-07
170,0.001464646,0.000247862,3.73E-08,3.51E-09
171,0.001313131,0.00059699,7.32E-08,1.35E-08
172,0.014242424,0.001862812,1.00E-05,7.03E-07
173,0.012626263,0.001045655,1.12E-05,8.27E-07
174,0.034545455,-0.002622581,1.21E-05,1.64E-06
175,1.00E-15,0.018412647,NA,5.71E-05
185,0.001919192,0.003505051,1.60E-07,4.38E-06
186,1.00E-15,0.402285857,NA,0.775529837
187,1.00E-15,0.023232323,NA,9.59E-05
188,0.006818182,0.009777778,1.83E-06,0.000171013
189,1.00E-15,0.004909091,NA,9.04E-07
190,0.003434343,0.090908121,4.25E-06,0.013445681
191,0.010555556,-0.006181818,2.60E-07,1.24E-06
192,1.00E-15,0.949494949,NA,14.46539149
193,0.006818182,7.68E-05,1.34E-06,5.51E-09
194,0.002626263,0.000910638,NA,2.04E-08
197,1.00E-15,0.003666189,NA,4.81E-07
198,0.020505051,0.007444181,6.30E-05,4.39E-06
209,1.00E-15,0.009545455,NA,1.92E-07
212,1.00E-15,0.12959596,NA,0.001603465
214,0.136363636,0.052524515,0.00121011,0.000774478
215,1.00E-15,0.111818182,NA,0.00069896
220,0.257575758,0.037049058,0.004067316,0.000745275
221,0.141414141,-0.018263016,0.003213682,0.000729574
222,1.00E-15,0.031311204,NA,5.29E-05
223,1.00E-15,0.011364113,NA,7.04E-06
224,0.260606061,-0.028242424,0.000537827,3.65E-05
225,0.004545455,6.52E-05,5.98E-07,2.47E-10
226,0.005454545,0.000384848,7.90E-07,3.16E-10
244,0.005605606,0.016566567,5.17E-05,0.000287516
245,0.003403404,0.001201201,5.68E-06,5.45E-07
246,1.00E-10,0.002452452,1.28E-06,22768266.64
248,1.00E-15,0.061111111,NA,2.37E-05
249,1.00E-15,0.012436555,NA,6.44E-06
250,1.00E-10,0.0001001,1.13E-09,1128.176694
251,0.043636364,0.008282828,0.000185108,0.001820867
252,0.058080808,0.434909091,0.00021953,0.005963908
255,1.00E-15,0.003020202,NA,1.59E-08
256,0.581818182,-0.000131313,0.00203345,4.70E-09
257,0.060606061,0.000335771,0.001301408,1.14E-08
258,0.048282828,-0.001129697,6.01E-05,8.85E-08
259,0.242424242,0.013858586,0.004840442,0.000126684
260,1.00E-15,0.001499055,NA,8.14E-07
261,1.00E-15,0.000464242,NA,2.41E-07
265,0.001313131,0.000164166,NA,1.35E-09
266,0.058282828,-0.000828568,3.25E-06,2.51E-09
267,1.00E-15,5.06E-05,NA,1.19E-10
268,0.011909091,-0.00012,5.17E-07,1.70E-10
276,1.00E-15,0.022525253,NA,2.76E-05
277,1.00E-15,0.035171717,NA,6.73E-05
278,1.00E-15,0.20530303,NA,0.005302758
279,0.038181818,-0.002060606,1.87E-05,2.45E-07
280,0.036363636,0.000904834,4.32E-05,6.67E-07
281,0.015909091,0.010738588,NA,2.14E-06
282,2.075757576,-0.047777778,0.046850696,0.000443202
