"substudy_num","alpha_old","beta_old","alpha_var_old","beta_var_old","alpha","beta","alpha_variance","beta_variance","alpha_diff","beta_diff","alpha_var_diff","beta_var_diff","alpha_pct_change","beta_pct_change","alpha_var_pct_change","beta_var_pct_change"
1,0.000166666666667333,3.34361414141414e-06,3.82454662866597e-09,3.49372135195726e-13,0.000166666666667333,3.34361414141414e-06,4.84044182690537e-09,4.15781714613096e-13,0,0,1.0158951982394e-09,6.640957941737e-14,0,0,26.5624930547342,18.9540128184771
5,0.00909090909090973,0.00124242424242424,1.03747467140868e-05,1.34456717414576e-06,0.00909090909090973,0.00124242424242424,1.39602591784752e-05,2.02318516657239e-06,0,0,3.5855124643884e-06,6.7861799242663e-07,0,0,34.5599999966689,50.4711110735738
6,0.00849090909090909,-0.000548484848484848,5.3890306122449e-06,5.14630994355352e-07,0.00849090909090909,-0.000548484848484848,7.9177676580274e-06,8.8362325309052e-07,0,0,2.5287370457825e-06,3.68992258735168e-07,0,0,46.9237832787123,71.7003565788686
7,1e-15,0.0136727272727273,NA,9.80189469952258e-06,1e-15,0.0136727272727273,2.24798351841354e-05,1.41147283673125e-05,0,0,NA,4.31283366778992e-06,0,0,NA,43.9999999955109
8,0.00170707070707071,0.000311111111111111,9.56136657170318e-08,1.85108056828173e-08,0.00170707070707071,0.000311111111111111,1.08787104104712e-07,2.51952632905014e-08,0,0,1.31734383876802e-08,6.6844576076841e-09,0,0,13.7777776336796,36.1111091602991
9,0.00202020202020262,0.0392929292929293,2.39034164292484e-08,1.23715119656678e-05,0.00202020202020262,0.0392929292929293,2.39034164292484e-08,1.35778045156082e-05,0,0,0,1.2062925499404e-06,0,0,0,9.75056689263591
10,0.000972727272727273,-4.87272727272729e-06,3.58700642791552e-08,1.70405065382537e-09,0.000972727272727273,-4.87272727272729e-06,4.68506962013455e-08,2.45383294150853e-09,0,0,1.09806319221903e-08,7.4978228768316e-10,0,0,30.6122440445386,43.9999741791863
11,0.000464646464647232,0.000142166666666667,4.91082410862819e-08,3.17929995689736e-09,0.000464646464647232,0.000142166666666667,6.11927460588391e-08,4.68784534460886e-09,0,0,1.20845049725572e-08,1.5085453877115e-09,0,0,24.6078956589915,47.4489646674931
12,1e-15,0.00109036363636364,NA,6.60151509056144e-08,1e-15,0.00109036363636364,2.65593515880511e-07,9.27291008605613e-08,0,0,NA,2.67139499549469e-08,0,0,NA,40.4663917052578
13,0.00357575757575758,-0.000303363636363636,1.21011045673118e-07,1.62515193609068e-08,0.00357575757575758,-0.000303363636363636,1.49396352682862e-07,2.40854275594535e-08,0,0,2.8385307009744e-08,7.8339081985467e-09,0,0,23.4567899296169,48.2041558240375
14,0.000363636363637182,0.000191885858585859,4.24949625408605e-08,3.00301627710313e-09,0.000363636363637182,0.000191885858585859,5.14189046744412e-08,3.92230697417552e-09,0,0,8.9239421335807e-09,9.1929069707239e-10,0,0,20.9999995058238,30.6122347041302
15,0.000101010101011,2.24545454545455e-06,NA,1.78851337577815e-12,0.000101010101011,2.24545454545455e-06,1.52981865146945e-08,2.57545926112054e-12,0,0,NA,7.8694588534239e-13,0,0,NA,43.9754123100754
16,0.0010010011,0,1.02246605555079e-06,9.72735789772082e-11,0.0010010011,0,1.02246605555079e-06,9.72735789772082e-11,0,0,0,0,0,0,0,0
17,1e-15,0.000284747474747475,NA,4.22325827065645e-09,0.00227272727272736,-2.02020202020314e-05,7.32042128145439e-08,2.70931945549851e-07,0.00227272727272636,-0.000304949494949506,NA,2.66708687279195e-07,113636363636318,-107.094714437372,NA,6315.23357167078
18,0.0062020202020202,-5.65656565656566e-05,7.01332877872324e-07,3.07026104358024e-08,0.0062020202020202,-5.65656565656566e-05,8.79751962003043e-07,6.01771164541728e-08,0,0,1.78419084130719e-07,2.94745060183704e-08,0,0,25.4399999637262,95.9999968732305
19,0.00103030303030369,1.47878787878788e-05,4.68506962013143e-08,5.01183888408908e-10,0.00103030303030369,1.47878787878788e-05,5.37826869657945e-08,6.82166959223236e-10,0,0,6.9319907644802e-09,1.80983070814328e-10,0,0,14.795918051537,36.1110390596348
20,0.00456565656565657,-0.000188313131313131,1.12213260459572e-07,1.17346144650898e-09,0.00456565656565657,-0.000188313131313131,1.49396352682862e-07,1.96524339138528e-09,0,0,3.718309222329e-08,7.917819448763e-10,0,0,33.1360943792604,67.4739909429425
27,0.000560606060606687,4.64343434343434e-06,1.52981865147047e-08,3.2842689284568e-12,0.000560606060606687,4.64343434343434e-06,1.72702183701158e-08,3.80897461525167e-12,0,0,1.9720318554111e-09,5.2470568679487e-13,0,0,12.8906241573753,15.9714683400772
28,0.000424242424243141,1.73836363636364e-05,2.89231338793635e-08,9.13314186218705e-12,0.000424242424243141,1.73836363636364e-05,3.44209196580855e-08,1.21104286951314e-11,0,0,5.497785778722e-09,2.97728683294435e-12,0,0,19.0082638056106,32.5951455305236
30,1e-15,0.00606060606060606,NA,9.56136657170316e-08,1e-15,0.00606060606060606,7.32042128145439e-08,9.56136657170316e-08,0,0,NA,0,0,0,NA,0
49,1e-15,0.0190909090909091,NA,4.84044182692473e-07,1e-15,0.0190909090909091,1.65995947418763e-12,5.9758541073145e-07,0,0,NA,1.13541228038977e-07,0,0,NA,23.4567900749972
52,0.00606060606060686,0.00515317171717172,3.7349088170713e-06,1.17111124125193e-06,0.00606060606060686,0.00515317171717172,4.03967737654432e-06,1.52961468245151e-06,0,0,3.0476855947302e-07,3.5850344119958e-07,0,0,8.15999999781526,30.6122448718205
53,0.00757575757575827,0.002627,2.3903416429256e-06,5.58298690649729e-07,0.00757575757575827,0.002627,2.80533151148907e-06,7.67411755518534e-07,0,0,4.1498986856347e-07,2.09113064868805e-07,0,0,17.361111103848,37.4554101588331
54,1e-10,0.0288288288288288,0.000180071659873474,874743467382.052,1e-10,0.0288288288288288,0.000180071659873474,874743467382.052,0,0,0,0,0,0,0,0
55,1e-15,0.0109698593232323,NA,1.5965162565344e-06,1e-15,0.0109698593232323,2.89231338793443e-08,2.14048162925942e-06,0,0,NA,5.4396537272502e-07,0,0,NA,34.0720221393235
57,0.0024242424242433,0.023,NA,2.34928154935444e-05,0.0024242424242433,0.023,2.65593515880617e-05,3.14972927946689e-05,0,0,NA,8.0044773011245e-06,0,0,NA,34.0720221592143
58,0.0106060606060613,6.70475757575755e-05,3.44209196581291e-06,6.30061176755582e-07,0.0106060606060613,6.70475757575755e-05,4.03967737654432e-06,8.63569869866069e-07,0,0,5.9758541073141e-07,2.33508693110487e-07,0,0,17.3611111060674,37.0612729929333
59,0.0142424242424248,0.00234634001010101,6.90808734805509e-06,2.00223211730173e-06,0.0142424242424248,0.00234634001010101,7.74470692307906e-06,2.82346013416377e-06,0,0,8.3661957502397e-07,8.2122801686204e-07,0,0,12.1107266418455,41.0156249795152
60,0.00161616161616245,0.0075803903030303,NA,2.38981962081494e-06,0.00161616161616245,0.0075803903030303,7.46052186108579e-06,3.25281003944256e-06,0,0,NA,8.6299041862762e-07,0,0,NA,36.1111110960008
61,1e-15,0.00889939393939394,NA,2.63300964707891e-06,1e-15,0.00889939393939394,5.9758541073105e-07,3.98846431746865e-06,0,0,NA,1.35545467038974e-06,0,0,NA,51.4792899212771
62,0.00222727272727273,-0.000117434848484848,7.11276035123106e-08,5.39391289078739e-08,0.00222727272727273,-0.000117434848484848,7.74470692307957e-08,6.33035610099353e-08,0,0,6.31946571848511e-09,9.3644321020614e-09,0,0,8.88468796582535,17.3611107892462
63,1e-15,0.0129159794444444,NA,5.44913093833654e-06,1e-15,0.0129159794444444,9.0899380810114e-07,7.30576003921021e-06,0,0,NA,1.85662910087367e-06,0,0,NA,34.0720221544121
64,1e-15,0.00189621818181818,NA,5.90530942685727e-07,1e-15,0.00189621818181818,5.86696076580225e-06,9.97997293138878e-07,0,0,NA,4.07466350453151e-07,0,0,NA,68.9999998831559
65,0.00565656565656637,0.00160579924242424,NA,7.67720035500398e-08,0.00565656565656637,0.00160579924242424,1.45439009296226e-05,1.04495227054221e-07,0,0,NA,2.77232235041812e-08,0,0,NA,36.1111106407431
68,0.00909090909090964,0.0145959595959596,3.83517036931611e-06,1.19932072014853e-06,0.00909090909090964,0.0145959595959596,3.83517036931611e-06,1.34456717414576e-06,0,0,0,1.4524645399723e-07,0,0,0,12.1107266335009
69,1e-15,0.717171717171717,NA,0.0127090647247574,1e-15,0.717171717171717,1.17126740503317e-06,0.0165995947425402,0,0,NA,0.0038905300177828,0,0,NA,30.6122448979562
70,0.00373737373737436,0.321212121212121,8.13380142384309e-07,0.00110493542444245,0.00373737373737436,0.321212121212121,8.60522991453114e-07,0.00137683678632526,0,0,4.7142849068805e-08,0.00027190136188281,0,0,5.79591836022123,24.6078961600643
71,0.00686868686868753,0.180808080808081,6.79919400654379e-07,0.000223364146855621,0.00686868686868753,0.180808080808081,6.7991940065438e-07,0.000271967760261779,0,0,9.52912065661088e-22,4.8603613406158e-05,0,0,1.40150738946773e-13,21.7598097502
72,0.00767676767676829,0.000169494949494949,7.46052186108654e-06,2.36412019268831e-08,0.00767676767676829,0.000169494949494949,9.56136657170222e-06,3.74886549073756e-08,0,0,2.10084471061568e-06,1.38474529804925e-08,0,0,28.159487358276,58.5733857254199
73,1e-15,0.00096969696969697,NA,7.37630215720153e-08,1e-15,0.00096969696969697,7.7447069230788e-06,1.10836423673247e-07,0,0,NA,3.70734021012317e-08,0,0,NA,50.2601450002089
74,0.0216161616161616,-0.00451484529292929,3.58700642791552e-06,2.44094378435255e-05,0.0216161616161616,-0.00451484529292929,3.93675988914084e-06,3.01351084487969e-05,0,0,3.4975346122532e-07,5.7256706052714e-06,0,0,9.75056689070566,23.4567901224958
75,0.827272727272727,0.111943434343434,0.000611927460589003,0.00151932822709614,0.827272727272727,0.111943434343434,0.000611927460589003,0.00163844715614362,0,0,0,0.00011911892904748,0,0,0,7.84023668638548
76,0.0160909090909091,0.00171616161616162,1.07836943301649e-06,3.08020227527803e-06,0.0160909090909091,0.00171616161616162,1.14906378710602e-06,3.46891584854302e-06,0,0,7.069435408953e-08,3.8871357326499e-07,0,0,6.55567116977918,12.6197417701636
