"substudy_num","alpha_hat","beta_hat","alpha_se","beta_se","alpha_ci_lower","alpha_ci_upper","alpha_variance","beta_ci_lower","beta_ci_upper","beta_variance"
1,0.000166666666667333,3.34361414141414e-06,5.93232764556933e-05,2.42708774092298e-07,6.06060606069394e-05,0.000303030303030697,3.82454662866597e-09,2.29042222222222e-06,4.60744444444444e-06,3.49372135195726e-13
5,0.00909090909090973,0.00124242424242424,0.00308767400914005,0.00109231191392251,0.00378787878787964,0.0164141414141418,1.03747467140868e-05,-0.000515151515151515,0.00403030303030303,1.34456717414576e-06
6,0.00849090909090909,-0.000548484848484848,0.00217296844465105,0.000666109807424737,0.00490606060606061,0.0140060606060606,5.3890306122449e-06,-0.00151818181818182,0.00129393939393939,5.14630994355352e-07
7,1e-15,0.0136727272727273,0.000723222132590507,0.00285779995201147,NA,0.00929292929292983,NA,0.00876363636363636,0.0210363636363636,9.80189469952258e-06
8,0.00170707070707071,0.000311111111111111,0.000300854056662097,0.00012660649894103,0.00114141414141414,0.00235353535353535,9.56136657170318e-08,8.88888888888889e-05,0.000622222222222222,1.85108056828173e-08
9,0.00202020202020262,0.0392929292929293,0.000144125572027549,0.00317059877330637,0.00171717171717237,0.00232323232323286,2.39034164292484e-08,0.0327272727272727,0.0465151515151515,1.23715119656678e-05
10,0.000972727272727273,-4.87272727272729e-06,0.000179563438990794,3.8201137495708e-05,0.000654545454545455,0.0013969696969697,3.58700642791552e-08,-6.96e-05,9.22181818181818e-05,1.70405065382537e-09
11,0.000464646464647232,0.000142166666666667,0.000209081608726471,5.07676996468473e-05,8.08080808090404e-05,0.000949494949495475,4.91082410862819e-08,5.53333333333333e-05,0.000276363636363636,3.17929995689736e-09
12,1e-15,0.00109036363636364,0.000492271721543875,0.000239576850415964,NA,0.00101010101010176,NA,0.000680030303030303,0.00168721212121212,6.60151509056144e-08
13,0.00357575757575758,-0.000303363636363636,0.000334490833712547,0.000113277249874876,0.00296969696969697,0.00433333333333333,1.21011045673118e-07,-0.000498909090909091,8.18181818181907e-07,1.62515193609068e-08
14,0.000363636363637182,0.000191885858585859,0.000198177358939803,5.10567488007384e-05,1e-15,0.000808080808081404,4.24949625408605e-08,9.98222222222222e-05,0.000314637373737374,3.00301627710313e-09
