study_num,substudy_num,Authors,Article.Title,Source.Title,Publication.Year
1,1,Chua and Teng,Relative Growth and production…,Marine Biology,1979
2,5,"KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH",MARINE ECOLOGY PROGRESS SERIES,1981
2,6,"KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH",MARINE ECOLOGY PROGRESS SERIES,1981
2,7,"KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH",MARINE ECOLOGY PROGRESS SERIES,1981
3,8,"DOHERTY, PJ","SOME EFFECTS OF DENSITY ON THE JUVENILES OF 2 SPECIES OF TROPICAL, TERRITORIAL DAMSELFISH",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,1982
4,9,"JONES, GP","POPULATION ECOLOGY OF THE TEMPERATE REEF FISH PSEUDOLABRUS-CELIDOTUS BLOCH AND SCHNEIDER (PISCES, LABRIDAE) .2. FACTORS INFLUENCING ADULT DENSITY",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,1984
5,10,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,1987
5,11,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,1987
5,12,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,1987
5,13,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,1987
